window_start,key,n_tracks,share
1974,10,115,0.04805683242791475
1974,11,151,0.06310071040534894
1975,0,364,0.14168937329700274
1975,1,113,0.04398598676527832
1975,2,349,0.13585052549630205
1975,3,75,0.02919423900350331
1975,4,258,0.10042818217205138
1975,5,155,0.06033476060724017
1975,6,120,0.04671078240560529
1975,7,292,0.11366290385363954
1975,8,94,0.03659011288439081
1975,9,446,0.17360840794083301
1975,10,112,0.043596730245231606
1975,11,191,0.07434799532892176
1976,0,393,0.14587973273942093
1976,1,132,0.04899777282850779
1976,2,367,0.13622865627319972
1976,3,77,0.02858203414996288
1976,4,265,0.09836674090571641
1976,5,178,0.06607275426874536
1976,6,135,0.05011135857461024
1976,7,284,0.10541945063103192
1976,8,94,0.034892353377876766
1976,9,441,0.16369710467706014
1976,10,117,0.043429844097995544
1976,11,211,0.07832219747587231
1977,0,413,0.14760543245175126
1977,1,150,0.053609721229449604
1977,2,380,0.13581129378127232
1977,3,73,0.026090064331665476
1977,4,277,0.09899928520371694
1977,5,170,0.06075768406004289
1977,6,135,0.048248749106504646
1977,7,293,0.10471765546819156
1977,8,97,0.03466761972837741
1977,9,459,0.1640457469621158
1977,10,126,0.04503216583273767
1977,11,225,0.08041458184417441
1978,0,434,0.15254833040421792
1978,1,160,0.056239015817223195
1978,2,379,0.13321616871704745
1978,3,76,0.02671353251318102
1978,4,264,0.09279437609841827
1978,5,171,0.06010544815465729
1978,6,137,0.04815465729349736
1978,7,304,0.10685413005272408
1978,8,102,0.035852372583479786
1978,9,457,0.16063268892794377
1978,10,117,0.041124780316344464
1978,11,244,0.08576449912126538
1979,0,461,0.16307039264237708
1979,1,168,0.05942695436858861
1979,2,361,0.1276972055182172
1979,3,70,0.024761230986911922
1979,4,271,0.0958613371064733
1979,5,180,0.0636717368234878
1979,6,136,0.04810753448885745
1979,7,294,0.10399717014503007
1979,8,96,0.033958259639193494
1979,9,438,0.1549345596038203
1979,10,119,0.042094092677750265
1979,11,233,0.08241952599929253
1980,0,439,0.15556343019135366
1980,1,177,0.0627214741318214
1980,2,371,0.131467044649185
1980,3,71,0.025159461374911412
1980,4,276,0.09780297661233169
1980,5,182,0.06449326718639263
1980,6,142,0.050318922749822824
1980,7,295,0.10453579021970234
1980,8,96,0.03401842664776754
1980,9,413,0.14635010630758327
1980,10,122,0.04323175053153792
1980,11,238,0.08433734939759036
1981,0,432,0.14922279792746113
1981,1,179,0.0618307426597582
1981,2,385,0.13298791018998274
1981,3,74,0.025561312607944732
1981,4,283,0.09775474956822107
1981,5,184,0.06355785837651122
1981,6,146,0.05043177892918826
1981,7,311,0.107426597582038
1981,8,100,0.03454231433506045
1981,9,413,0.14265975820379964
1981,10,138,0.04766839378238342
1981,11,250,0.08635578583765112
1982,0,413,0.13780447113780447
1982,1,188,0.0627293960627294
1982,2,396,0.13213213213213212
1982,3,91,0.030363697030363696
1982,4,294,0.0980980980980981
1982,5,202,0.06740073406740073
1982,6,164,0.05472138805472139
1982,7,331,0.11044377711044377
1982,8,104,0.03470136803470137
1982,9,414,0.13813813813813813
1982,10,143,0.04771438104771438
1982,11,257,0.08575241908575242
1983,0,417,0.13280254777070064
1983,1,202,0.0643312101910828
1983,2,394,0.12547770700636943
1983,3,101,0.0321656050955414
1983,4,308,0.0980891719745223
1983,5,211,0.06719745222929936
1983,6,185,0.0589171974522293
1983,7,353,0.1124203821656051
1983,8,124,0.03949044585987261
1983,9,414,0.13184713375796178
1983,10,162,0.05159235668789809
1983,11,269,0.08566878980891719
1984,0,405,0.12573734864948774
1984,1,202,0.06271344303011488
1984,2,412,0.1279105867742937
1984,3,105,0.032598571872089414
1984,4,295,0.09158646383110836
1984,5,216,0.06705991927972679
1984,6,190,0.05898789195901894
1984,7,387,0.12014902204284383
1984,8,139,0.043154299906861225
1984,9,431,0.1338093759701956
1984,10,163,0.05060540204905309
1984,11,276,0.08568767463520646
1985,0,420,0.12673506336753168
1985,1,215,0.06487628243814123
1985,2,402,0.12130356065178033
1985,3,94,0.028364514182257092
1985,4,300,0.09052504526252263
1985,5,248,0.0748340374170187
1985,6,192,0.05793602896801448
1985,7,392,0.11828605914302957
1985,8,162,0.04888352444176222
1985,9,437,0.13186481593240795
1985,10,169,0.05099577549788775
1985,11,283,0.08539529269764635
1986,0,410,0.12087264150943396
1986,1,224,0.0660377358490566
1986,2,391,0.11527122641509434
1986,3,87,0.02564858490566038
1986,4,302,0.08903301886792453
1986,5,270,0.07959905660377359
1986,6,203,0.059846698113207544
1986,7,433,0.12765330188679244
1986,8,177,0.052181603773584904
1986,9,453,0.1335495283018868
1986,10,166,0.04893867924528302
1986,11,276,0.08136792452830188
1987,0,415,0.11537392271337225
1987,1,257,0.07144842924659438
1987,2,409,0.11370586599944398
1987,3,75,0.020850708924103418
1987,4,332,0.0922991381706978
1987,5,287,0.07978871281623576
1987,6,204,0.0567139282735613
1987,7,475,0.132054489852655
1987,8,201,0.05587989991659716
1987,9,452,0.12566027244926328
1987,10,184,0.051153739227133725
1987,11,306,0.08507089241034195
1988,0,403,0.10798499464094319
1988,1,276,0.07395498392282958
1988,2,433,0.1160235798499464
1988,3,82,0.02197213290460879
1988,4,359,0.09619506966773848
1988,5,303,0.08118971061093247
1988,6,217,0.05814576634512326
1988,7,488,0.1307609860664523
1988,8,218,0.05841371918542337
1988,9,461,0.1235262593783494
1988,10,182,0.04876741693461951
1988,11,310,0.08306538049303322
1989,0,432,0.10603829160530191
1989,1,316,0.07756504663721159
1989,2,470,0.11536573392243496
1989,3,86,0.02110947471772214
1989,4,389,0.09548355424644084
1989,5,338,0.08296514482081492
1989,6,237,0.05817378497790869
1989,7,525,0.12886597938144329
1989,8,241,0.05915562101129111
1989,9,496,0.12174766813942071
1989,10,207,0.0508100147275405
1989,11,337,0.08271968581246932
1990,0,464,0.10497737556561086
1990,1,347,0.07850678733031674
1990,2,505,0.11425339366515837
1990,3,111,0.025113122171945702
1990,4,441,0.0997737556561086
1990,5,346,0.07828054298642534
1990,6,271,0.06131221719457013
1990,7,574,0.12986425339366517
1990,8,246,0.055656108597285064
1990,9,535,0.12104072398190045
1990,10,230,0.05203619909502263
1990,11,350,0.07918552036199095
1991,0,537,0.10844103392568659
1991,1,403,0.08138126009693053
1991,2,566,0.11429725363489499
1991,3,135,0.027261712439418415
1991,4,490,0.09894991922455573
1991,5,355,0.07168820678513732
1991,6,310,0.06260096930533118
1991,7,611,0.12338449111470114
1991,8,277,0.05593699515347334
1991,9,605,0.12217285945072698
1991,10,263,0.05310985460420032
1991,11,400,0.08077544426494346
1992,0,589,0.11432453416149069
1992,1,414,0.08035714285714286
1992,2,588,0.11413043478260869
1992,3,143,0.027756211180124224
1992,4,503,0.09763198757763975
1992,5,376,0.07298136645962733
1992,6,317,0.061529503105590064
1992,7,638,0.12383540372670808
1992,8,276,0.05357142857142857
1992,9,615,0.11937111801242237
1992,10,277,0.05376552795031056
1992,11,416,0.08074534161490683
1993,0,653,0.12032430440390639
1993,1,445,0.08199742030587802
1993,2,603,0.1111111111111111
1993,3,145,0.02671826054910632
1993,4,526,0.09692279344020638
1993,5,389,0.07167864381794731
1993,6,326,0.06007002026902524
1993,7,682,0.12566795651372767
1993,8,270,0.04975124378109453
1993,9,651,0.11995577667219458
1993,10,301,0.0554634236226276
1993,11,436,0.08033904551317486
1994,0,677,0.11940035273368607
1994,1,483,0.08518518518518518
1994,2,625,0.11022927689594356
1994,3,161,0.028395061728395062
1994,4,566,0.09982363315696649
1994,5,406,0.07160493827160494
1994,6,344,0.060670194003527335
1994,7,685,0.12081128747795414
1994,8,289,0.0509700176366843
1994,9,666,0.11746031746031746
1994,10,316,0.05573192239858907
1994,11,452,0.07971781305114639
1995,0,705,0.11862695608278648
1995,1,518,0.08716136631330977
1995,2,657,0.11055022715800102
1995,3,171,0.028773346794548207
1995,4,559,0.09406023893656403
1995,5,414,0.0696617869762746
1995,6,352,0.05922934544842672
1995,7,708,0.11913175164058556
1995,8,343,0.05771495877502945
1995,9,697,0.11728083459532222
1995,10,337,0.056705367659431266
1995,11,482,0.08110381961972069
1996,0,718,0.11797568189286887
1996,1,525,0.08626355570161025
1996,2,653,0.10729543213933618
1996,3,170,0.027932960893854747
1996,4,565,0.0928360170883996
1996,5,437,0.07180414065067368
1996,6,377,0.06194544857048965
1996,7,727,0.11945448570489649
1996,8,356,0.05849490634242524
1996,9,707,0.11616825501150181
1996,10,351,0.05767334866907657
1996,11,500,0.0821557673348669
1997,0,784,0.11500660114419833
1997,1,589,0.08640164295144492
1997,2,763,0.11192606718497873
1997,3,193,0.028311574006161067
1997,4,613,0.08992225319055303
1997,5,487,0.07143904943523544
1997,6,445,0.06527798151679624
1997,7,778,0.1141264485844213
1997,8,404,0.05926360569165322
1997,9,823,0.12072759278274901
1997,10,391,0.057356608478802994
1997,11,547,0.08024057503300572
1998,0,835,0.11071333863696632
1998,1,655,0.08684699018827897
1998,2,832,0.11031556616282154
1998,3,211,0.02797666401485017
1998,4,666,0.0883054892601432
1998,5,579,0.07677008750994431
1998,6,512,0.06788650225404402
1998,7,855,0.11336515513126491
1998,8,470,0.06231768761601697
1998,9,905,0.1199946963670114
1998,10,431,0.057146645452134714
1998,11,591,0.07836117740652347
1999,0,923,0.10984172319409735
1999,1,718,0.08544567416398906
1999,2,921,0.10960371295965726
1999,3,245,0.029156253718909914
1999,4,735,0.08746876115672975
1999,5,617,0.07342615732476497
1999,6,588,0.06997500892538379
1999,7,957,0.11388789717957873
1999,8,527,0.06271569677496132
1999,9,998,0.11876710698560038
1999,10,484,0.05759847673449958
1999,11,690,0.08211353088182792
2000,0,1006,0.10978937029357197
2000,1,787,0.08588890101495143
2000,2,1008,0.11000763941940413
2000,3,261,0.028484120921095712
2000,4,801,0.08741678489577649
2000,5,689,0.07519371384917603
2000,6,656,0.07159227327294554
2000,7,1035,0.11295427261813816
2000,8,558,0.060897086107170144
2000,9,1070,0.11677398232020081
2000,10,543,0.059260067663429006
2000,11,749,0.08174178762414057
2001,0,1117,0.1075175666570411
2001,1,903,0.08691885648281837
2001,2,1187,0.11425546250842238
2001,3,303,0.02916546347097892
2001,4,910,0.0875926460679565
2001,5,783,0.07536817788045047
2001,6,710,0.06834151506401001
2001,7,1184,0.11396669554336317
2001,8,640,0.06160361921262874
2001,9,1190,0.11454422947348157
2001,10,611,0.058812205217056504
2001,11,851,0.08191356242179228
2002,0,1200,0.1073345259391771
2002,1,973,0.0870304114490161
2002,2,1272,0.11377459749552772
2002,3,329,0.029427549194991055
