genre,window_start,window_end,window_label,n_tracks,major_share
death metal,1984,1988,1984_1988,21,0.8095238095238095
death metal,1985,1989,1985_1989,40,0.725
death metal,1986,1990,1986_1990,68,0.7058823529411765
death metal,1987,1991,1987_1991,120,0.725
death metal,1988,1992,1988_1992,134,0.6940298507462687
death metal,1989,1993,1989_1993,156,0.6987179487179487
death metal,1990,1994,1990_1994,167,0.7065868263473054
death metal,1991,1995,1991_1995,171,0.6842105263157895
death metal,1992,1996,1992_1996,142,0.647887323943662
death metal,1993,1997,1993_1997,130,0.6384615384615384
death metal,1994,1998,1994_1998,147,0.5986394557823129
death metal,1995,1999,1995_1999,131,0.5954198473282443
death metal,1996,2000,1996_2000,123,0.6016260162601627
death metal,1997,2001,1997_2001,111,0.5945945945945946
death metal,1998,2002,1998_2002,144,0.5486111111111112
death metal,1999,2003,1999_2003,157,0.5987261146496815
death metal,2000,2004,2000_2004,181,0.580110497237569
death metal,2001,2005,2001_2005,202,0.594059405940594
death metal,2002,2006,2002_2006,242,0.6322314049586777
death metal,2003,2007,2003_2007,229,0.6724890829694323
death metal,2004,2008,2004_2008,212,0.6698113207547169
death metal,2005,2009,2005_2009,228,0.6447368421052632
death metal,2006,2010,2006_2010,199,0.6381909547738693
death metal,2007,2011,2007_2011,173,0.6127167630057804
death metal,2008,2012,2008_2012,188,0.6117021276595744
death metal,2009,2013,2009_2013,207,0.5990338164251208
death metal,2010,2014,2010_2014,201,0.6069651741293532
death metal,2011,2015,2011_2015,219,0.6118721461187214
death metal,2012,2016,2012_2016,234,0.6068376068376068
death metal,2013,2017,2013_2017,295,0.6474576271186441
death metal,2014,2018,2014_2018,370,0.6459459459459459
death metal,2015,2019,2015_2019,355,0.6366197183098592
disco,1970,1974,1970_1974,20,0.75
disco,1971,1975,1971_1975,31,0.6774193548387096
disco,1972,1976,1972_1976,52,0.6153846153846154
disco,1973,1977,1973_1977,90,0.5888888888888889
disco,1974,1978,1974_1978,113,0.5929203539823009
disco,1975,1979,1975_1979,157,0.5987261146496815
disco,1976,1980,1976_1980,172,0.6046511627906976
disco,1977,1981,1977_1981,169,0.591715976331361
disco,1978,1982,1978_1982,146,0.5821917808219178
disco,1979,1983,1979_1983,123,0.5609756097560976
disco,1980,1984,1980_1984,77,0.4935064935064935
disco,1981,1985,1981_1985,64,0.4375
disco,1982,1986,1982_1986,52,0.46153846153846156
disco,1983,1987,1983_1987,41,0.4634146341463415
disco,1984,1988,1984_1988,41,0.5121951219512195
disco,1985,1989,1985_1989,37,0.4864864864864865
disco,1986,1990,1986_1990,27,0.4444444444444444
disco,1987,1991,1987_1991,26,0.4230769230769231
disco,1988,1992,1988_1992,26,0.46153846153846156
disco,1989,1993,1989_1993,28,0.4642857142857143
disco,1990,1994,1990_1994,33,0.42424242424242425
disco,1991,1995,1991_1995,37,0.5405405405405406
disco,1992,1996,1992_1996,38,0.5263157894736842
disco,1993,1997,1993_1997,40,0.5
disco,1994,1998,1994_1998,41,0.4878048780487805
disco,1995,1999,1995_1999,42,0.5714285714285714
disco,1996,2000,1996_2000,49,0.4489795918367347
disco,1997,2001,1997_2001,55,0.43636363636363634
disco,1998,2002,1998_2002,49,0.46938775510204084
disco,1999,2003,1999_2003,48,0.4583333333333333
disco,2000,2004,2000_2004,56,0.375
disco,2001,2005,2001_2005,53,0.37735849056603776
disco,2002,2006,2002_2006,48,0.3958333333333333
disco,2003,2007,2003_2007,64,0.390625
disco,2004,2008,2004_2008,78,0.38461538461538464
disco,2005,2009,2005_2009,73,0.4246575342465753
disco,2006,2010,2006_2010,89,0.47191011235955055
disco,2007,2011,2007_2011,103,0.4854368932038835
disco,2008,2012,2008_2012,114,0.4824561403508772
disco,2009,2013,2009_2013,115,0.4782608695652174
disco,2010,2014,2010_2014,135,0.4740740740740741
disco,2011,2015,2011_2015,125,0.44
disco,2012,2016,2012_2016,129,0.4186046511627907
disco,2013,2017,2013_2017,124,0.43548387096774194
disco,2014,2018,2014_2018,128,0.4375
disco,2015,2019,2015_2019,114,0.43859649122807015
doom metal,1983,1987,1983_1987,21,0.8571428571428571
doom metal,1984,1988,1984_1988,21,0.8095238095238095
doom metal,1985,1989,1985_1989,21,0.7142857142857143
doom metal,1986,1990,1986_1990,25,0.76
doom metal,1987,1991,1987_1991,32,0.75
doom metal,1988,1992,1988_1992,35,0.6285714285714286
doom metal,1989,1993,1989_1993,65,0.7538461538461538
doom metal,1990,1994,1990_1994,68,0.75
doom metal,1991,1995,1991_1995,92,0.6304347826086957
doom metal,1992,1996,1992_1996,106,0.5849056603773585
doom metal,1993,1997,1993_1997,106,0.5660377358490566
doom metal,1994,1998,1994_1998,95,0.37894736842105264
doom metal,1995,1999,1995_1999,122,0.4016393442622951
doom metal,1996,2000,1996_2000,97,0.4020618556701031
doom metal,1997,2001,1997_2001,97,0.422680412371134
doom metal,1998,2002,1998_2002,99,0.40404040404040403
doom metal,1999,2003,1999_2003,117,0.5042735042735043
doom metal,2000,2004,2000_2004,103,0.5048543689320388
doom metal,2001,2005,2001_2005,119,0.5210084033613446
doom metal,2002,2006,2002_2006,142,0.5352112676056338
doom metal,2003,2007,2003_2007,173,0.5433526011560693
doom metal,2004,2008,2004_2008,168,0.5238095238095238
doom metal,2005,2009,2005_2009,198,0.4898989898989899
doom metal,2006,2010,2006_2010,203,0.4827586206896552
doom metal,2007,2011,2007_2011,183,0.4918032786885246
doom metal,2008,2012,2008_2012,176,0.4943181818181818
doom metal,2009,2013,2009_2013,182,0.5
doom metal,2010,2014,2010_2014,159,0.5534591194968553
doom metal,2011,2015,2011_2015,217,0.5207373271889401
doom metal,2012,2016,2012_2016,234,0.47435897435897434
