feature,genre,n_valid_windows,first_window,last_window,first_value,last_value,last_minus_first,mean_value,median_value
energy,easy listening,47,1959,2015,0.31829999999999997,0.42910000000000004,0.11080000000000007,0.41012369966043666,0.42046206896551724
energy,electronic,45,1971,2015,0.48561,0.6699463621599675,0.18433636215996752,0.6872085764724327,0.7028469594594594
energy,experimental,52,1964,2015,0.553625,0.5767169752281617,0.023091975228161643,0.5611196563441174,0.5756550606477887
energy,folk,57,1959,2015,0.21400999999999998,0.4868590198123045,0.2728490198123045,0.39404859619529004,0.410735
energy,funk,51,1965,2015,0.5851,0.671204702970297,0.08610470297029704,0.6855948588476696,0.6892179487179487
energy,glam rock,39,1967,2015,0.49780555555555556,0.7986923076923077,0.30088675213675214,0.7238656271467077,0.7195853658536585
energy,gothic rock,34,1977,2015,0.6154193548387097,0.7124705882352941,0.09705123339658439,0.756204131723725,0.7536244019138756
energy,grunge,32,1984,2015,0.7574500000000001,0.7495794871794872,-0.007870512820512876,0.7598131990073115,0.7536277197940948
energy,hard rock,51,1965,2015,0.6260975609756098,0.8430196174863388,0.21692205651072904,0.7929195925391042,0.8043148148148148
energy,hardcore,39,1977,2015,0.8884000000000001,0.8802302702407002,-0.00816972975929986,0.8796047874844172,0.8802302702407002
energy,hardcore punk,32,1976,2015,0.9019999999999999,0.8932811764705882,-0.008718823529411668,0.899083724006116,0.9072399999999999
energy,indie rock,33,1983,2015,0.7771,0.6984596026490066,-0.07864039735099337,0.704121531942211,0.7114605196451205
energy,industrial,35,1981,2015,0.749,0.7814331983805668,0.0324331983805668,0.7669241536737774,0.7738595903614458
energy,jazz,61,1955,2015,0.20711748603351957,0.4582241052631579,0.2511066192296383,0.38355252630887937,0.4005402985074627
energy,latin,40,1965,2015,0.43878000000000006,0.6740986413043478,0.23531864130434776,0.6299836040966452,0.6719913935176709
energy,metal,48,1968,2015,0.54954,0.8855014851485148,0.33596148514851476,0.8014261606314422,0.842218954248366
energy,mpb,53,1963,2015,0.41795,0.517576241900648,0.099626241900648,0.49550497760588136,0.4992865168539326
energy,new wave,43,1973,2015,0.6386666666666666,0.724575221238938,0.08590855457227142,0.71971586450221,0.7216588421052632
energy,pop,57,1959,2015,0.4858636363636364,0.6529747584541062,0.16711112209046985,0.6169553324582194,0.647250704225352
energy,pop rock,32,1982,2015,0.6028095238095238,0.7425009009009009,0.13969137709137713,0.7441486101994848,0.752128712871287
energy,post-hardcore,35,1981,2015,0.8928571428571429,0.8612589198036006,-0.03159822305354232,0.8389858263124894,0.8581777777777777
energy,post-punk,43,1973,2015,0.6661851851851851,0.7381584864300627,0.07197330124487755,0.7256947631810889,0.7381584864300627
energy,power metal,34,1981,2015,0.8552083333333332,0.8848717201166182,0.02966338678328495,0.8405041757087832,0.8438700980392158
energy,progressive metal,32,1984,2015,0.9054285714285714,0.8348798185941043,-0.07054875283446704,0.7930090127221838,0.7895989944285908
energy,progressive rock,53,1963,2015,0.52012,0.6045861509433963,0.08446615094339627,0.6041446581513746,0.6077142857142858
energy,psychedelic rock,48,1963,2015,0.5260115384615385,0.6809939759036144,0.15498243744207596,0.5697016551089132,0.5516080808080808
energy,punk,47,1969,2015,0.7972222222222222,0.815793489148581,0.018571266926358798,0.8579104929367748,0.8737373737373737
energy,rap,32,1984,2015,0.6060869565217392,0.6352235055112124,0.029136548989473265,0.6823167302173496,0.6912275090225564
