window_start,window_end,window_label,n_tracks,n_genres,love,babi,want,blue,feel,man,well,like,pron,cri,yes,woman,life,let,light,breath,insid,everyth,never,old,fuck,littl,lose,sweet,away,one,take,wait,fall,darl,burn,alway,true,give,noth,make,end,blood,time,dark
1975,1979,1975_1979,2569,38,0.06219592496512474,0.02749499070781568,0.033232796695115224,0.011161323729342145,0.023319149673148565,0.021244646304987014,0.02154362239670073,0.028583439754131943,0.014393672522426843,0.01340301543695543,0.009599199760332341,0.010188477234539512,0.020004794612595352,0.016475873737754002,0.012463468460575966,0.0023838437984301446,0.006881260044673638,0.008820043964241965,0.02315439557816479,0.012819725429799237,0.000515686427864345,0.013365417239802916,0.010153169430327177,0.008899169945223778,0.01846771295510295,0.02436150166390199,0.025063780973783485,0.012188552535088088,0.009833991876108136,0.0029120958559197625,0.005386603072665102,0.01063446723370981,0.007840516906086909,0.019665401471246697,0.010892909770381157,0.02432718489864574,0.008087536708388417,0.0038597418359022713,0.026242797679949432,0.006969614636397459
1976,1980,1976_1980,2694,40,0.06176736735871307,0.026252499383002365,0.034310659518144264,0.009694982085715655,0.022009272070816047,0.021222528505709836,0.02169424227972077,0.02809999669838267,0.015513897294250597,0.012675968370460214,0.009281825691623865,0.008906571288395433,0.018862317458429118,0.017685478412744714,0.012462014986443134,0.002955185723057674,0.007098920094782733,0.007712649596025754,0.0233736739975061,0.011796165796108352,0.0007811592058142407,0.01291058648944245,0.010338060901217118,0.007871645626638508,0.01942212403960586,0.024828104765083674,0.024406998375081004,0.01292981984996826,0.010674106837265515,0.002171203411598382,0.005907362096147933,0.01122430431685389,0.007388865024840516,0.019747755934198308,0.01057339743912024,0.0242528883682815,0.007971032998094017,0.0039323929053946965,0.025497289615331632,0.006779369384826912
1977,1981,1977_1981,2798,41,0.05827891295357842,0.025232857511536776,0.03352552419364536,0.008229324468483807,0.022395298847394392,0.01979112788982911,0.02024155146591337,0.02760799881621259,0.015265528765969509,0.012775694637832524,0.00790618506047919,0.008401918987191297,0.019621387791574827,0.017354278956336767,0.012906695369030401,0.0028119082000970064,0.007425649338222064,0.007927638466818357,0.023715867068762136,0.0104321939845203,0.0008394508300664246,0.0127310997626937,0.010237686587545756,0.006895374309298031,0.019392080064035436,0.023871573204524082,0.024925603915328064,0.013366474399687195,0.011338225413864695,0.002182287974642688,0.0071407839330093256,0.011150082318874474,0.006537441477341391,0.019750690582235258,0.011947172812263483,0.024225892212853234,0.0083955118878547,0.0038830851318642197,0.025309797859255037,0.00817333419355393
1978,1982,1978_1982,2845,44,0.0551615193754541,0.023799503764555908,0.030475186925320235,0.007146825076679128,0.022207551576119703,0.018723370328032504,0.019387359532239842,0.02836049002595909,0.015829864242441826,0.013316658496083112,0.007151412348330962,0.00827675909593786,0.0213281392520047,0.018226944769424627,0.013105475401507631,0.0031120455957023897,0.0077511590505039835,0.007745946162227597,0.023042813812860392,0.010743974599183248,0.0007801147784792233,0.012098715743795955,0.010655717757706261,0.0064767597849695515,0.020430836226292298,0.02320309102844773,0.02631095048448925,0.01286686127339467,0.01176048368733847,0.0021515315442665176,0.007281992150811625,0.011551757372914119,0.006539867566918506,0.018964358676233202,0.012462188976076174,0.02477264924885012,0.008397693547887677,0.004493304525715659,0.025430067440512363,0.007916409395273607
1979,1983,1979_1983,2827,49,0.05217320648604592,0.02233547567047915,0.030137645804709637,0.006215269730783454,0.021243287515052875,0.01823963984094808,0.019364414820338828,0.02842770984622903,0.015497587064702103,0.012892405731458206,0.006278118399897922,0.007738529868553541,0.020902979398334826,0.01793328220614397,0.01272671928440825,0.00354365237091807,0.007859572350817329,0.007244857582072496,0.022653704503103163,0.008903207143673908,0.0008631693247044262,0.0121955289979037,0.010653968668297084,0.00687673744000944,0.0210623109243734,0.02444891561148791,0.026271884062788797,0.013652881694137798,0.012269283956754553,0.001982448791741564,0.007653173215938248,0.01211673498444407,0.00636899151825883,0.01812266232764875,0.013176470002724172,0.024234674189877143,0.008335210000591483,0.00451155047694811,0.026096572819913868,0.009234217281993126
1980,1984,1980_1984,2822,50,0.05046867529026849,0.02120159293461471,0.030084854295390626,0.007172205483851136,0.021304246244234083,0.019578318179512277,0.018071443814870337,0.027732209691857794,0.015227434420921306,0.01291852140675893,0.005409006563037219,0.006678169786137204,0.021161225385821093,0.019901468176045146,0.012989018074352742,0.003547602017479849,0.008707348165293682,0.00689652972120949,0.02233693898176689,0.008546560908088204,0.0007985067304284256,0.011301397931141202,0.011222837120327024,0.006396266589121747,0.02068207802846876,0.02517766687140187,0.02544173810900791,0.011990857594533662,0.013579044591248467,0.001931911825175571,0.009663776404129111,0.011829079788685908,0.006310222206225785,0.017167883009677812,0.014148588692690645,0.023333849883677146,0.00968153596234222,0.0044518102849774085,0.02553543959417282,0.009246707301611635
1981,1985,1981_1985,2895,50,0.04860138913573537,0.02113593888918614,0.030746190912086222,0.008121338898447714,0.021928704159874017,0.01870861149465262,0.017548700147111608,0.027914821187084403,0.014186284006456523,0.012635288365337458,0.005422123777260663,0.0066848024647137615,0.021411662658339315,0.019297263850196648,0.012511533823880568,0.0031796173845290735,0.00941175436280546,0.006569095520231625,0.023303383812581003,0.008144117920120863,0.0010151587856048329,0.010941339551880298,0.01202282389966637,0.006052877187610767,0.021555457320810954,0.02507177219293633,0.026728264762080917,0.01145666813277283,0.013044676088467178,0.002111579020973164,0.010064163596625611,0.011641622762761133,0.0060314556209806166,0.017086242092401997,0.014933379200191405,0.02293540684509394,0.010412241411993104,0.006057669332873587,0.02641132746661685,0.009391508437398732
1982,1986,1982_1986,2997,50,0.0499675455929663,0.0212719025343391,0.0317746828990522,0.007925810051980519,0.021216433089945707,0.017121598168550772,0.017954817333141162,0.027646065742627894,0.014983447151398247,0.012606339866511681,0.006094183174401922,0.005626382701493796,0.020644419113426276,0.019437728111111222,0.01225447720719962,0.0036412638183421953,0.00956701289675354,0.0073296779278924536,0.022109221178329447,0.007445766199792851,0.0010137628954196868,0.010974047909662082,0.012051630193564469,0.006201842150283281,0.021454323002119222,0.025817200623939066,0.025124657081111616,0.01104662370581632,0.013870088737619427,0.0019935259003959,0.009774176627961179,0.012088556894222653,0.007111178564867454,0.01706834974090198,0.013715780194756819,0.02415489216830098,0.010670816537628467,0.0075081460830062965,0.028623604131212853,0.008562749582762914
1983,1987,1983_1987,3140,50,0.053636050327520036,0.022377335030493824,0.03341741236907281,0.008392812400243485,0.02203071466825784,0.016876131140037696,0.0184787081947373,0.02833604139561258,0.015265614253924727,0.012689433205102482,0.006261283024760325,0.0051606899860576535,0.021353947995312844,0.019865104582131622,0.011772346552498461,0.00390952224894938,0.010321945279532153,0.007962549069574767,0.023946497559092252,0.0072292913348379045,0.001406604557603767,0.010880897199658755,0.011726798809258691,0.005957007371358456,0.020972714228428613,0.02679018839216211,0.02470500422646508,0.011241866059396031,0.014089658502195184,0.0018940052850751382,0.010948713018624375,0.012323148853137551,0.007152550226967372,0.018482563327700596,0.013980194600898702,0.024106857822651834,0.010501125936674809,0.00808550176202011,0.029869718438721507,0.008939528950885655
1984,1988,1984_1988,3221,50,0.05706934930124242,0.024071552605186286,0.0339782209015097,0.008098518252634617,0.02220124272313611,0.01731972980355682,0.018406999294066,0.028732124675248816,0.014747005577202049,0.013627112173932596,0.006628726145119232,0.005742283661003232,0.02148173575079249,0.01967289134020326,0.011395622240518669,0.004045186074025246,0.0106380333092668,0.008680880338492831,0.024557526401080644,0.007953110571230059,0.001930312490138716,0.010915409708745738,0.011700252539771286,0.006015630488385618,0.020288823193270078,0.02676498713517696,0.024911666357380475,0.010401853646263087,0.013871129256909705,0.001935950843148006,0.010525309518743075,0.012347743867527348,0.008231730639729599,0.01948148046971805,0.013622794008233716,0.024486052303693565,0.010559904760202798,0.008813674101897744,0.02944696331082784,0.008115925221685093
1985,1989,1985_1989,3314,50,0.059319688759231735,0.024662558151849867,0.03541089997746487,0.007913396031212782,0.0228529379911315,0.0159644882243713,0.01932031571515854,0.029669874083614333,0.014994366458934287,0.014065849267599627,0.006887835263621364,0.006286935004365294,0.022795684071369327,0.01825156281323809,0.011099460105880112,0.004764425757679797,0.010598027013797485,0.009415048473457806,0.025247183350067846,0.008440452040564402,0.0021998299230152722,0.012223115893276598,0.012751613489315965,0.006871790181718404,0.02077204527731868,0.0266647314530814,0.025124430259408904,0.010797885721383479,0.013746299642222463,0.002333221096128232,0.009746310461376612,0.013088673379780246,0.0089242937156395,0.020278869016069814,0.01324239617910017,0.025888688880819972,0.010213838117703714,0.008379198711267017,0.03124925818364353,0.008222138243622742
1986,1990,1986_1990,3392,50,0.05810406433080738,0.024238423875855855,0.03423922356080625,0.007372353956878514,0.02252552659521134,0.016995400736468068,0.018973712497467956,0.028749591456665127,0.015125419826740396,0.014659494799500065,0.007004427538760106,0.006354091929699449,0.023185570944876492,0.01835793512579557,0.01100630223238607,0.004990378886994919,0.01042107486794424,0.009837331064033124,0.024603270814098913,0.008133844048411942,0.0017798965633310524,0.013024551003947584,0.011938237577771236,0.007135151937548385,0.020422290049449517,0.026402813790350463,0.02378983729804438,0.011342765018221193,0.014190102315995632,0.0024004369937635772,0.0102806206011149,0.013187800964013088,0.009090722067040511,0.01967895649930481,0.013299043482576581,0.02542741736588642,0.009998622517979913,0.008540149099944034,0.03150292450539519,0.008690184525620242
1987,1991,1987_1991,3597,50,0.05829549966120985,0.02419085439066776,0.033770855631234845,0.008130368500613563,0.02397284344984973,0.01885780247035674,0.017695551330778887,0.029115544056564382,0.014015687247822461,0.014272835777164688,0.007384015847552413,0.007083021393999625,0.0232877701853122,0.01941638761167106,0.010901983981875208,0.004661465321673334,0.011075029565903128,0.00945968824965069,0.025018400959747916,0.008337422771603063,0.002033827628928297,0.013557077244926403,0.011962132934050395,0.007151092262384491,0.020515724862932988,0.027219595356636605,0.024123833123446337,0.011640667815577078,0.013362548078679383,0.0023252201374010513,0.010324058413982505,0.012569445979231873,0.008508069382497601,0.021060865702221772,0.014343800377619861,0.02416283593896501,0.010257853774569631,0.007718332186331129,0.029648995331287068,0.0087337737529778
1988,1992,1988_1992,3732,50,0.05520702080045131,0.024692941017054493,0.032841366226491316,0.00822555419435693,0.02426842413018458,0.01917520267813474,0.017500606370288007,0.028606500947785038,0.013964538182333414,0.014005827719427193,0.007253213193324249,0.007296751087090932,0.023325035807444973,0.01903383808574012,0.011351966676899809,0.005270937680118037,0.011640032604028658,0.009306102676347676,0.024481756061201607,0.00849388974866075,0.0021767145565209528,0.013877126847022128,0.012576223793577763,0.00764738290124159,0.02106447143562956,0.02742850250686557,0.024901837824719084,0.01182852031194911,0.01323907469815687,0.0028416504947535045,0.009450927222271964,0.012316546131821189,0.009046091442302385,0.020224040710775295,0.014021888349325882,0.024416081640244693,0.011000536682220412,0.007692583118684827,0.02896195755655332,0.00865109037007731
1989,1993,1989_1993,4074,50,0.051512161362147965,0.02391923857591967,0.03250962518318857,0.007658380992351979,0.02503790483034763,0.018976037786094614,0.016276719515414772,0.027462916983904725,0.014466515362046165,0.012820122075634677,0.007615246685082923,0.0069525490454568056,0.022935733530785558,0.01924151966737767,0.011253323694780418,0.0052957134269609445,0.012228731747306808,0.009270010266642372,0.02477576224452323,0.008468361974115518,0.0019530268215949681,0.013532844740059884,0.012643744837107148,0.007533442730813074,0.02079902366100226,0.027904607760643997,0.02397117337041736,0.01207997889738118,0.01309189920338138,0.0026554407748035345,0.009998566550542081,0.012264679902917758,0.008530564344056097,0.019392931596029936,0.013955932407780616,0.023808123047579486,0.01108562367926709,0.007140574907497072,0.027997054460220393,0.009266660518569203
